Entity,Currency,Currency Code,Numeric Code,Minor Unit,Withdrawal Date,Flag
BOSNIA AND HERZEGOVINA,Dinar,BAD,70,,1998-07,🇧🇦
BOSNIA AND HERZEGOVINA,Convertible Mark,BAM,977,2,,🇧🇦
BOTSWANA,Pula,BWP,72,2,,🇧🇼
BOUVET ISLAND,Norwegian Krone,NOK,578,2,,🇳🇴
BRAZIL,Cruzeiro,BRB,76,,1986-03,🇧🇷
BRAZIL,Cruzado,BRC,76,,1989-02,🇧🇷
BRAZIL,Cruzeiro,BRE,76,,1993-03,🇧🇷
BRAZIL,Brazilian Real,BRL,986,2,,🇧🇷
BRAZIL,New Cruzado,BRN,76,,1990-03,🇧🇷
BRAZIL,Cruzeiro Real,BRR,987,,1994-07,🇧🇷
BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,840,2,,🇺🇸
BRUNEI DARUSSALAM,Brunei Dollar,BND,96,2,,🇧🇳
BULGARIA,Lev A/52,BGJ,100,,1989 to 1990,🇧🇬
BULGARIA,Lev A/62,BGK,100,,1989 to 1990,🇧🇬
BULGARIA,Lev,BGL,100,,2003-11,🇧🇬
BULGARIA,Bulgarian Lev,BGN,975,2,,🇧🇬
BURKINA FASO,CFA Franc BCEAO,XOF,952,0,,🇧🇫
BURMA,Kyat,BUK,104,,1990-02,🇲🇲
BURUNDI,Burundi Franc,BIF,108,0,,🇧🇮
CABO VERDE,Cabo Verde Escudo,CVE,132,2,,🇨🇻
CAMBODIA,Riel,KHR,116,2,,🇰🇭
CAMEROON,CFA Franc BEAC,XAF,950,0,,🇨🇲
CANADA,Canadian Dollar,CAD,124,2,,🇨🇦
CAYMAN ISLANDS,Cayman Islands Dollar,KYD,136,2,,🇰🇾
CENTRAL AFRICAN REPUBLIC,CFA Franc BEAC,XAF,950,0,,🇨🇫
CHAD,CFA Franc BEAC,XAF,950,0,,🇹🇩
CHILE,Unidad de Fomento,CLF,990,4,,🇨🇱
CHILE,Chilean Peso,CLP,152,0,,🇨🇱
CHINA,Renminbi,CNY,156,2,,🇨🇳
CHRISTMAS ISLAND,Australian Dollar,AUD,36,2,,🇦🇺
COCOS ISLANDS,Australian Dollar,AUD,36,2,,🇦🇺
COLOMBIA,Colombian Peso,COP,170,2,,🇨🇴
COLOMBIA,Unidad de Valor Real,COU,970,2,,🇨🇴
COMOROS,Comorian Franc,KMF,174,0,,🇰🇲
COOK ISLANDS,New Zealand Dollar,NZD,554,2,,🇳🇿
COSTA RICA,Costa Rican Colon,CRC,188,2,,🇨🇷
CÔTE D'IVOIRE,CFA Franc BCEAO,XOF,952,0,,🇨🇮
CROATIA,Croatian Dinar,HRD,191,,1995-01,🇭🇷
CROATIA,Kuna,HRK,191,2,,🇭🇷
CROATIA,Croatian Kuna,HRK,191,,2015-06,🇭🇷
CUBA,Peso Convertible,CUC,931,2,,🇨🇺
CUBA,Cuban Peso,CUP,192,2,,🇨🇺
CURAÇAO,Netherlands Antillean Guilder,ANG,532,2,,🇳🇱
