Entity,Currency,Currency Code,Numeric Code,Minor Unit,Withdrawal Date,Flag
VIRGIN ISLANDS,US Dollar,USD,840,2,,🇺🇸
WALLIS AND FUTUNA,CFP Franc,XPF,953,0,,🇫🇷
WESTERN SAHARA,Moroccan Dirham,MAD,504,2,,🇲🇦
YEMEN,Yemeni Dinar,YDD,720,,1991-09,🇾🇪
YEMEN,Yemeni Rial,YER,886,2,,🇾🇪
YUGOSLAVIA,New Yugoslavian Dinar,YUD,890,,1990-01,🇷🇸
YUGOSLAVIA,New Dinar,YUM,891,,2003-07,🇷🇸
YUGOSLAVIA,Yugoslavian Dinar,YUN,890,,1995-11,🇷🇸
ZAIRE,New Zaire,ZRN,180,,1999-06,🇨🇩
ZAIRE,Zaire,ZRZ,180,,1994-02,🇨🇩
ZAMBIA,Zambian Kwacha,ZMK,894,,2012-12,🇿🇲
ZAMBIA,Zambian Kwacha,ZMW,967,2,,🇿🇲
ZIMBABWE,Rhodesian Dollar,ZWC,716,,1989-12,🇿🇼
ZIMBABWE,Zimbabwe Dollar (old),ZWD,716,,2006-08,🇿🇼
ZIMBABWE,Zimbabwe Dollar,ZWD,716,,2008-08,🇿🇼
ZIMBABWE,Zimbabwe Dollar,ZWL,932,2,,🇿🇼
ZIMBABWE,Zimbabwe Dollar (new),ZWN,942,,2006-09,🇿🇼
ZIMBABWE,Zimbabwe Dollar,ZWR,935,,2009-06,🇿🇼
ZZ01_Bond Markets Unit European_EURCO,Bond Markets Unit European Composite Unit (EURCO),XBA,955,-,,🇪🇺
ZZ01_Gold-Franc,Gold-Franc,XFO,,,2006-10,🥇
ZZ02_Bond Markets Unit European_EMU-6,Bond Markets Unit European Monetary Unit (E.M.U.-6),XBB,956,-,,🇪🇺
ZZ02_RINET Funds Code,RINET Funds Code,XRE,,,1999-11,💰
ZZ03_Bond Markets Unit European_EUA-9,Bond Markets Unit European Unit of Account 9 (E.U.A.-9),XBC,957,-,,🇪🇺
ZZ04_Bond Markets Unit European_EUA-17,Bond Markets Unit European Unit of Account 17 (E.U.A.-17),XBD,958,-,,🇪🇺
ZZ05_UIC-Franc,UIC-Franc,XFU,,,2013-11,💰
ZZ06_Testing_Code,Codes specifically reserved for testing purposes,XTS,963,-,,💰
ZZ07_No_Currency,The codes assigned for transactions where no currency is involved,XXX,999,-,,💰
ZZ08_Gold,Gold,XAU,959,-,,🥇
ZZ09_Palladium,Palladium,XPD,964,-,,💰
ZZ10_Platinum,Platinum,XPT,962,-,,💰
ZZ11_Silver,Silver,XAG,961,-,,🥈
